Time,Delta status
2023-10-21T09:03:56.000000Z,green
2023-10-21T14:11:52.000000Z,orange
2023-10-21T14:27:22.000000Z,green
2023-10-21T17:35:28.000000Z,red
2023-10-21T18:06:02.000000Z,green
2023-10-21T18:30:39.000000Z,orange
2023-10-21T18:38:18.000000Z,green
2023-10-21T19:55:56.000000Z,red
2023-10-21T20:27:58.000000Z,green
2023-10-21T21:45:28.000000Z,red
2023-10-21T22:15:04.000000Z,green
2023-10-22T03:19:59.000000Z,red
2023-10-22T04:07:21.000000Z,green
2023-10-22T08:15:07.000000Z,orange
2023-10-22T08:31:23.000000Z,green
2023-10-22T09:43:25.000000Z,orange
